车辆ID,左车道速度,右车道速度,总平均速度
bus7160,12.43,,12.43
bus7165,22.31,18.9,19.99
bus7167,11.27,,11.27
bus7170,3.92,,3.92
bus7176,3.45,,3.45
bus7190,15.1,,15.1
bus72,24.59,,24.59
bus7209,25.19,,25.19
bus7211,6.49,,6.49
bus7221,14.61,,14.61
bus7223,8.99,,8.99
bus7234,19.72,,19.72
bus724,19.05,,19.05
bus7241,24.98,,24.98
bus7269,10.62,,10.62
bus7270,16.75,,16.75
bus7276,10.08,,10.08
bus7282,21.27,,21.27
bus7285,29.96,,29.96
bus7286,24.15,,24.15
bus7306,27.09,,27.09
bus7307,25.63,,25.63
bus731,39.04,,39.04
bus7325,26.1,,26.1
bus7329,25.37,,25.37
bus7341,26.22,,26.22
bus7344,21.18,,21.18
bus7360,26.0,,26.0
bus7362,34.42,,34.42
bus7369,29.3,,29.3
bus7372,28.06,,28.06
bus7373,17.3,,17.3
bus7383,24.31,,24.31
bus7386,27.91,,27.91
bus7388,27.35,,27.35
bus7392,32.17,,32.17
bus7394,29.3,,29.3
bus7404,25.59,,25.59
bus7416,30.45,,30.45
bus7418,39.8,,39.8
bus742,28.94,,28.94
bus7420,28.52,,28.52
bus7424,22.31,,22.31
bus7427,23.46,,23.46
bus7430,28.99,,28.99
bus7435,26.53,,26.53
bus7439,25.89,,25.89
bus745,13.74,,13.74
bus7459,39.99,,39.99
bus7471,31.7,,31.7
bus7474,30.36,,30.36
bus7484,23.52,,23.52
bus7488,27.62,,27.62
bus7492,32.08,,32.08
bus750,27.87,,27.87
bus7500,26.9,,26.9
bus7510,35.25,,35.25
bus7512,25.06,,25.06
bus7517,29.3,,29.3
bus7524,24.3,,24.3
bus7528,27.44,,27.44
bus7536,23.31,,23.31
bus7539,24.35,,24.35
bus7544,24.29,,24.29
bus7556,20.23,,20.23
bus7559,27.62,,27.62
bus7562,24.1,,24.1
bus7567,28.9,,28.9
bus7568,16.0,,16.0
bus7570,26.26,,26.26
bus7574,26.52,,26.52
bus7578,23.0,,23.0
bus758,25.77,,25.77
bus7587,27.27,,27.27
bus76,29.92,,29.92
bus760,24.47,,24.47
bus7600,27.29,,27.29
bus7602,25.06,,25.06
bus7608,24.1,,24.1
bus7616,35.05,,35.05
bus7626,29.26,,29.26
bus763,35.4,,35.4
bus7632,18.8,,18.8
bus7636,13.6,,13.6
bus7641,18.43,,18.43
bus7647,17.4,,17.4
bus7660,6.8,,6.8
bus7662,11.0,,11.0
bus7665,18.38,,18.38
bus7667,17.84,,17.84
bus7668,11.09,,11.09
bus7670,13.95,,13.95
bus7672,10.21,,10.21
bus7674,12.0,,12.0
bus7698,16.1,,16.1
bus7700,5.0,,5.0
bus7715,16.38,,16.38
bus7724,1.5,,1.5
bus7749,13.1,,13.1
bus7756,19.38,,19.38
bus776,4.1,,4.1
bus7771,19.73,,19.73
bus7792,22.56,,22.56
bus7795,27.07,,27.07
bus7822,24.37,,24.37
bus7833,16.04,,16.04
bus7837,20.46,,20.46
bus7839,22.82,,22.82
bus7842,19.44,,19.44
bus7860,22.35,,22.35
bus7861,25.83,,25.83
bus7868,19.0,,19.0
bus7873,20.3,,20.3
bus7876,11.47,,11.47
bus788,27.34,,27.34
bus7881,27.3,,27.3
bus7890,20.41,,20.41
bus7894,13.65,,13.65
bus7895,27.23,,27.23
bus7896,19.59,,19.59
bus7909,16.5,,16.5
bus7917,27.52,,27.52
bus7921,18.6,,18.6
bus7925,12.0,,12.0
bus7928,2.75,,2.75
bus794,9.28,,9.28
bus7943,19.1,,19.1
bus7952,6.5,,6.5
bus7955,10.75,,10.75
bus7957,12.28,,12.28
bus7965,9.99,,9.99
bus7969,19.44,,19.44
bus7978,3.39,,3.39
bus8004,18.57,,18.57
bus8006,24.67,,24.67
bus8017,7.6,,7.6
bus8026,11.8,,11.8
bus8030,13.37,,13.37
bus8050,15.12,,15.12
bus8056,25.7,,25.7
bus8063,17.58,,17.58
bus8066,26.81,,26.81
bus8069,27.06,,27.06
bus8073,28.07,,28.07
bus8075,20.0,,20.0
bus8077,10.26,,10.26
bus8081,29.4,,29.4
bus8083,31.7,,31.7
bus8085,29.9,,29.9
bus8100,31.98,,31.98
bus8101,24.59,,24.59
bus8111,30.6,,30.6
bus812,21.03,,21.03
bus8127,21.86,,21.86
bus8133,57.55,,57.55
bus8153,24.98,,24.98
bus816,22.23,,22.23
bus8162,21.38,,21.38
bus8172,34.6,,34.6
bus8177,19.74,,19.74
bus8179,35.29,,35.29
bus8190,36.58,,36.58
bus8197,36.2,,36.2
bus8202,35.14,,35.14
bus8203,31.57,,31.57
bus8208,23.72,,23.72
bus8212,23.94,,23.94
bus8215,28.76,,28.76
bus8217,29.33,,29.33
bus8219,23.79,,23.79
bus8230,22.43,,22.43
bus8235,34.62,,34.62
bus8237,32.87,,32.87
bus8238,30.56,,30.56
bus8258,31.12,,31.12
bus8272,37.1,,37.1
bus8276,33.27,,33.27
bus8284,26.22,,26.22
bus8288,37.08,,37.08
bus8289,36.78,,36.78
bus8301,38.75,,38.75
bus8303,26.82,,26.82
bus8311,38.98,,38.98
bus8312,36.19,,36.19
bus8313,30.04,,30.04
bus832,26.61,,26.61
bus8326,20.76,,20.76
bus8329,36.18,,36.18
bus8336,46.25,,46.25
bus8338,27.8,,27.8
bus8339,39.94,,39.94
bus834,25.72,,25.72
bus8350,36.17,,36.17
bus8354,26.3,,26.3
bus8358,36.5,,36.5
bus8364,33.27,,33.27
bus8365,20.09,,20.09
bus8369,26.45,,26.45
bus8372,37.89,,37.89
bus8384,31.42,,31.42
bus8386,25.16,,25.16
bus8391,33.8,,33.8
bus8392,25.57,,25.57
bus8405,29.93,,29.93
bus8407,12.89,,12.89
bus8410,23.5,,23.5
bus8425,17.37,,17.37
bus8429,7.06,,7.06
bus8431,14.21,,14.21
bus8433,15.57,,15.57
bus8434,20.04,,20.04
bus8438,17.06,,17.06
bus8450,3.3,,3.3
bus8454,20.46,,20.46
bus8456,22.8,,22.8
bus8465,18.51,,18.51
bus8479,8.67,,8.67
bus848,20.21,,20.21
bus8486,22.04,,22.04
bus8488,18.11,,18.11
bus8495,25.3,,25.3
bus8496,17.13,,17.13
bus8501,27.03,,27.03
bus8506,19.32,,19.32
bus851,26.36,,26.36
bus8510,6.88,,6.88
bus8511,19.36,,19.36
bus852,26.19,,26.19
bus8521,6.62,,6.62
bus8522,7.2,,7.2
bus8524,12.95,,12.95
bus8542,16.9,,16.9
bus8548,20.15,,20.15
bus855,26.83,,26.83
bus857,18.43,,18.43
bus8576,18.76,,18.76
bus858,9.28,,9.28
bus8588,18.93,,18.93
bus8589,23.74,,23.74
bus8591,18.26,,18.26
bus8592,8.77,,8.77
bus8595,19.01,,19.01
bus8598,7.01,,7.01
bus8600,28.21,,28.21
bus8607,9.89,,9.89
bus8610,10.81,,10.81
bus8615,15.01,,15.01
bus8616,24.38,,24.38
bus8629,13.5,,13.5
bus8633,9.62,,9.62
bus8645,16.04,,16.04
bus8658,22.15,,22.15
bus8659,9.93,,9.93
bus8671,6.82,,6.82
bus8674,22.31,,22.31
bus8680,24.43,,24.43
bus8684,18.92,,18.92
bus8696,20.96,,20.96
bus8699,16.5,,16.5
bus8700,19.92,,19.92
bus8726,23.62,,23.62
bus8731,21.96,,21.96
bus8733,25.86,,25.86
bus8736,23.95,,23.95
bus874,24.9,,24.9
bus8740,25.9,,25.9
bus8751,24.2,,24.2
bus8753,27.96,,27.96
bus8757,21.3,,21.3
bus8758,23.6,,23.6
bus8766,18.22,,18.22
bus877,27.34,,27.34
bus8770,23.39,,23.39
bus8775,25.62,,25.62
bus8799,30.64,,30.64
bus8811,30.51,,30.51
bus8817,9.7,,9.7
bus8819,29.18,,29.18
bus882,26.3,,26.3
bus8822,25.42,,25.42
bus8839,29.66,,29.66
bus8848,31.47,,31.47
bus8851,36.17,,36.17
bus8865,33.6,,33.6
bus8867,30.04,,30.04
bus8869,30.4,,30.4
bus887,24.84,,24.84
bus8870,28.29,,28.29
bus8875,31.7,,31.7
bus8877,35.3,,35.3
bus8886,31.9,,31.9
bus8892,25.2,,25.2
bus8898,32.09,,32.09
bus8901,32.9,,32.9
bus8907,36.57,,36.57
bus8914,33.02,,33.02
bus892,26.83,,26.83
bus8927,27.7,,27.7
bus8929,34.15,,34.15
bus8932,36.11,,36.11
bus8938,34.33,,34.33
bus8940,31.38,,31.38
bus8944,36.57,,36.57
bus8945,39.4,,39.4
bus895,19.92,,19.92
bus8955,40.95,,40.95
bus8956,36.88,,36.88
bus8963,49.48,,49.48
bus8967,32.98,,32.98
bus8976,35.35,,35.35
bus8986,32.87,,32.87
bus8993,39.2,,39.2
bus8998,34.14,,34.14
bus9006,32.94,,32.94
bus901,4.35,,4.35
bus9010,37.67,,37.67
bus902,52.24,,52.24
bus9020,19.4,,19.4
bus9021,32.06,,32.06
bus9033,28.7,,28.7
bus9034,33.3,,33.3
bus9038,43.64,,43.64
bus9040,31.74,,31.74
bus9042,31.39,,31.39
bus9047,27.87,,27.87
bus9057,25.55,,25.55
bus9071,28.19,,28.19
bus9079,25.36,,25.36
bus908,30.8,,30.8
bus909,23.28,,23.28
bus9106,30.5,,30.5
bus9109,24.2,,24.2
bus9117,22.5,,22.5
bus9123,24.51,,24.51
bus9130,26.24,,26.24
bus9138,15.41,,15.41
bus9145,28.96,,28.96
bus9149,15.66,,15.66
bus9157,19.08,,19.08
bus9161,23.9,,23.9
bus9170,33.32,,33.32
bus9172,30.43,,30.43
bus918,35.2,,35.2
bus919,25.32,,25.32
bus9195,28.9,,28.9
bus9200,21.9,,21.9
bus9201,15.93,,15.93
bus9204,22.09,,22.09
bus923,25.73,,25.73
bus9234,24.82,,24.82
bus9236,10.3,,10.3
bus9241,23.72,,23.72
bus9255,21.31,,21.31
bus9258,15.18,,15.18
bus926,30.19,,30.19
bus9266,26.62,,26.62
bus9267,25.63,,25.63
bus9271,12.17,,12.17
bus9288,23.27,,23.27
bus9290,21.56,,21.56
bus9306,32.66,,32.66
bus9308,25.29,,25.29
bus9320,28.8,,28.8
bus9334,35.45,,35.45
bus9335,26.5,,26.5
bus9346,32.63,,32.63
bus9350,36.52,,36.52
bus9359,32.94,,32.94
bus9365,30.06,,30.06
bus9366,34.02,,34.02
bus9372,35.08,,35.08
bus9379,31.27,,31.27
bus9382,42.02,,42.02
bus9383,29.14,,29.14
bus9386,11.2,,11.2
bus9390,30.18,,30.18
bus9395,25.83,,25.83
bus9402,32.11,,32.11
bus9404,42.3,,42.3
bus9406,31.58,,31.58
bus941,30.19,,30.19
bus9418,26.71,,26.71
bus9426,27.48,,27.48
bus9451,20.16,,20.16
bus9453,20.35,,20.35
bus9461,24.7,,24.7
bus9466,17.95,,17.95
bus9469,33.3,,33.3
bus9476,28.42,,28.42
bus9483,2.27,,2.27
bus9486,16.37,,16.37
bus9489,13.81,,13.81
bus9490,19.22,,19.22
bus9498,20.27,,20.27
bus950,44.9,,44.9
bus9509,17.68,,17.68
bus9526,7.66,,7.66
bus9532,11.08,,11.08
bus9542,16.36,,16.36
bus9543,11.61,,11.61
bus9563,26.0,,26.0
bus9571,24.95,,24.95
bus9573,21.91,,21.91
bus9575,27.1,,27.1
bus9578,20.29,,20.29
bus9580,28.92,,28.92
bus9582,21.96,,21.96
bus9588,42.85,,42.85
bus959,17.48,,17.48
bus9592,22.06,,22.06
bus9595,27.04,,27.04
bus960,16.0,,16.0
bus9601,20.35,,20.35
bus9608,30.0,,30.0
bus962,11.12,,11.12
bus9621,28.67,,28.67
bus9637,28.35,,28.35
bus9638,29.3,,29.3
bus9644,28.09,,28.09
bus9647,18.8,,18.8
bus9651,17.84,,17.84
bus9654,25.3,,25.3
bus9658,28.2,,28.2
bus9660,26.81,,26.81
bus9669,27.12,,27.12
bus9675,28.84,,28.84
bus968,17.2,,17.2
bus9683,18.0,,18.0
bus9685,28.06,,28.06
bus9686,20.98,,20.98
bus9693,39.5,,39.5
bus9697,16.29,,16.29
bus970,18.39,,18.39
bus9703,11.75,,11.75
bus9706,25.6,,25.6
bus971,12.5,,12.5
bus9712,26.56,,26.56
bus9741,17.4,,17.4
bus9755,19.95,,19.95
bus976,10.29,,10.29
bus9763,13.1,,13.1
bus9776,13.36,,13.36
bus9777,16.13,,16.13
bus9793,22.19,,22.19
bus9794,15.43,,15.43
bus98,16.74,,16.74
bus9806,20.31,,20.31
bus9812,15.97,,15.97
bus9826,15.43,,15.43
bus9833,32.16,,32.16
bus9834,20.46,,20.46
bus9836,32.91,,32.91
bus9841,20.5,,20.5
bus9842,26.51,,26.51
bus9857,27.2,,27.2
bus9862,27.77,,27.77
bus9866,31.0,,31.0
bus9873,26.93,,26.93
bus9876,29.58,,29.58
bus9880,29.64,,29.64
bus99,19.03,,19.03
bus9908,33.81,,33.81
bus9910,28.67,,28.67
bus9912,30.35,,30.35
bus9913,35.81,,35.81
bus9923,35.79,,35.79
bus9925,35.9,,35.9
bus9928,31.43,,31.43
bus9932,27.43,,27.43
bus9950,34.2,,34.2
bus9952,26.8,,26.8
bus9955,29.06,,29.06
bus9956,35.04,,35.04
bus9964,44.67,,44.67
bus9969,23.56,,23.56
bus9970,24.7,,24.7
bus9975,36.48,,36.48
bus9976,30.25,,30.25
bus9981,26.89,,26.89
bus9984,17.77,,17.77
bus9985,23.9,,23.9
bus9994,24.6,,24.6
car10,25.47,,25.47
car10004,23.68,,23.68
car10010,20.92,,20.92
car10012,19.62,,19.62
car10018,34.47,,34.47
car10021,19.96,,19.96
car10032,26.7,,26.7
car10045,22.9,,22.9
car10067,20.68,,20.68
car10084,20.09,,20.09
car10090,21.57,,21.57
car10092,19.47,,19.47
car10093,21.22,,21.22
car10107,15.17,,15.17
car1011,15.7,,15.7
car10129,16.79,,16.79
car1014,17.99,,17.99
car10141,17.97,,17.97
car10166,23.22,,23.22
car10176,12.68,,12.68
car10180,20.59,,20.59
car10182,19.93,,19.93
car10186,20.64,,20.64
car10193,15.39,,15.39
car10198,27.16,,27.16
car10200,18.71,,18.71
car10214,18.76,,18.76
car10222,13.3,,13.3
car10226,18.15,,18.15
car1024,24.1,,24.1
car10248,6.78,,6.78
car10271,17.7,,17.7
car10281,14.74,,14.74
car10286,19.06,,19.06
car10291,12.46,,12.46
car1030,14.2,,14.2
car10300,18.67,,18.67
car10301,14.74,,14.74
car10307,13.99,,13.99
car10308,20.69,,20.69
car1031,19.71,,19.71
car10312,22.75,,22.75
car10316,16.08,,16.08
car10318,16.52,,16.52
car10321,15.47,,15.47
car10324,21.57,,21.57
car10350,22.69,,22.69
car1036,20.76,,20.76
car10364,17.9,,17.9
car10385,24.37,,24.37
car10391,16.53,,16.53
car104,26.9,,26.9
car10405,15.47,,15.47
car10409,24.87,,24.87
car10416,14.96,,14.96
car10419,12.39,,12.39
car10432,15.14,,15.14
car10436,27.57,,27.57
car10438,31.72,,31.72
car1044,15.0,,15.0
car10440,26.62,,26.62
car10442,19.18,,19.18
car10446,26.78,,26.78
car10456,29.86,,29.86
car10458,27.56,,27.56
car10460,25.78,,25.78
car10462,23.96,,23.96
car10464,29.49,,29.49
car10465,28.51,,28.51
car10466,23.78,,23.78
car10467,22.09,,22.09
car10473,28.62,,28.62
car10477,33.05,,33.05
car1048,27.17,,27.17
car10481,27.11,,27.11
car10486,29.4,,29.4
car10489,25.9,,25.9
car10495,28.7,,28.7
car10500,29.45,,29.45
car10513,30.0,,30.0
car10521,29.3,,29.3
car10525,26.87,,26.87
car10529,34.18,,34.18
car10535,29.54,,29.54
car10544,25.11,,25.11
car10548,36.9,,36.9
car10552,34.96,,34.96
car10558,32.84,,32.84
car1056,19.7,,19.7
car10560,33.6,,33.6
car10562,29.09,,29.09
car10565,33.02,,33.02
car10572,32.68,,32.68
car1058,22.12,,22.12
car10580,22.05,,22.05
car10583,35.54,,35.54
car10585,27.34,,27.34
car10586,35.9,,35.9
car10588,31.65,,31.65
car10596,32.64,,32.64
car10597,30.41,,30.41
car106,28.18,,28.18
car10600,25.65,,25.65
car10608,29.0,,29.0
car10611,35.38,,35.38
car1062,18.79,,18.79
car10621,26.03,,26.03
car10629,28.01,,28.01
car10632,33.6,,33.6
car10644,28.39,,28.39
car10656,22.94,,22.94
car10657,26.74,,26.74
car10675,22.75,,22.75
car10679,21.61,,21.61
car1068,33.96,,33.96
car10685,18.4,,18.4
car10694,21.4,,21.4
car10697,18.88,,18.88
car10700,19.69,,19.69
car10705,19.94,,19.94
car1071,34.36,,34.36
car10712,18.62,,18.62
car10728,7.81,,7.81
car10734,23.87,,23.87
car10736,40.71,,40.71
car10738,11.69,,11.69
car1075,28.91,,28.91
car1076,25.43,,25.43
car10761,19.1,,19.1
car10765,15.09,,15.09
car10766,29.5,,29.5
car10775,18.61,,18.61
car10779,25.12,,25.12
car10781,26.98,,26.98
car10783,19.03,,19.03
car10787,28.56,,28.56
car108,21.0,18.58,20.49
car10800,25.47,,25.47
car10803,24.02,,24.02
car10806,25.7,,25.7
car1081,33.11,,33.11
car10813,22.07,,22.07
car10839,14.39,,14.39
car1084,29.71,,29.71
car10843,21.23,,21.23
car10848,14.17,,14.17
car10853,16.25,,16.25
car10862,11.52,,11.52
car10864,8.19,,8.19
car10870,13.14,,13.14
car10877,14.13,,14.13
car10880,16.91,,16.91
car10881,16.39,,16.39
car10885,15.83,,15.83
car1090,20.7,,20.7
car10900,20.26,,20.26
car10906,16.96,,16.96
car10916,15.02,,15.02
car10917,14.16,,14.16
car1092,28.93,,28.93
car10921,14.97,,14.97
car10924,12.5,,12.5
car10925,18.92,,18.92
car10926,18.83,,18.83
car10928,19.28,,19.28
car10934,21.1,,21.1
car10935,25.12,,25.12
car10937,19.72,,19.72
car10947,18.3,,18.3
car10955,23.29,,23.29
car10957,22.08,,22.08
car10960,20.6,,20.6
car10963,12.62,,12.62
car10987,15.5,,15.5
car1099,26.09,,26.09
car10994,17.19,,17.19
car11000,15.92,,15.92
car11003,18.27,,18.27
car11004,13.35,,13.35
car11010,20.03,,20.03
car11013,21.93,,21.93
car11014,20.8,,20.8
car11017,22.68,,22.68
car11018,20.69,,20.69
car1102,36.21,,36.21
car11020,21.69,,21.69
car11027,23.07,,23.07
car11028,25.55,,25.55
car11029,24.54,,24.54
car11033,18.72,,18.72
car11041,30.96,,30.96
car11042,23.59,,23.59
car11043,21.88,,21.88
car11050,30.4,,30.4
car11054,28.08,,28.08
car11059,24.23,,24.23
car11062,28.34,,28.34
car1107,33.63,,33.63
car1108,26.52,,26.52
car11081,16.82,,16.82
car11089,17.15,,17.15
car1110,31.6,,31.6
car11108,26.31,,26.31
car11110,32.31,,32.31
car11122,22.85,,22.85
car11128,24.27,,24.27
car11129,32.85,,32.85
car11132,25.94,,25.94
car11136,31.92,,31.92
car11143,23.2,,23.2
car11145,38.2,,38.2
car11149,18.98,,18.98
car11153,22.37,,22.37
car11160,21.03,,21.03
car11162,15.99,,15.99
car11167,22.81,,22.81
car1117,32.97,,32.97
car11174,19.42,,19.42
car11189,24.57,,24.57
car1119,34.15,,34.15
car11196,14.01,,14.01
car11210,19.4,,19.4
car11219,15.82,,15.82
car11221,11.1,,11.1
car11231,10.15,,10.15
car1124,30.87,,30.87
car11244,14.11,,14.11
car11251,19.17,,19.17
car11256,14.37,,14.37
car11257,18.41,,18.41
car11264,23.46,,23.46
car11270,7.37,,7.37
car11272,17.65,,17.65
car11278,10.78,,10.78
car1128,33.52,,33.52
car11281,23.02,,23.02
car11290,21.63,,21.63
car11291,22.53,,22.53
car11293,25.84,,25.84
car11299,17.03,,17.03
car1130,37.18,,37.18
car11303,19.95,,19.95
car11308,22.55,,22.55
car1131,39.83,,39.83
car11310,19.91,,19.91
car11316,15.05,,15.05
car11320,25.24,,25.24
car11323,23.24,,23.24
car11326,18.61,,18.61
car11328,19.93,,19.93
car11333,22.18,,22.18
car11339,19.55,,19.55
car11340,24.36,,24.36
car11343,24.09,,24.09
car11344,25.91,,25.91
car11347,25.31,,25.31
car11353,19.8,,19.8
car11355,25.06,,25.06
car11356,24.94,,24.94
car11358,26.13,,26.13
car11359,25.4,,25.4
car11365,25.77,,25.77
car11368,23.0,,23.0
car1137,30.34,,30.34
car11374,29.41,,29.41
car11375,27.36,,27.36
car11376,25.14,,25.14
car1138,34.31,,34.31
car11385,25.6,,25.6
car11386,19.97,,19.97
car11390,22.17,,22.17
car11397,25.68,,25.68
car11407,26.06,,26.06
car11408,25.81,,25.81
car11421,27.52,,27.52
car11425,29.1,,29.1
car11431,28.77,,28.77
car11433,26.16,,26.16
car1144,35.77,,35.77
car11447,34.73,,34.73
car11459,28.62,,28.62
car1146,34.46,,34.46
car11463,32.18,,32.18
car11476,34.99,,34.99
car11477,26.59,,26.59
car11482,33.0,,33.0
car11493,30.86,,30.86
car11494,25.23,,25.23
car11497,25.39,,25.39
car11504,26.9,,26.9
car11507,27.98,,27.98
car11513,26.1,,26.1
car11516,24.63,,24.63
car11521,25.68,,25.68
car11525,27.31,,27.31
car11526,38.0,,38.0
car11527,22.77,,22.77
car11531,22.2,,22.2
car11537,34.6,,34.6
car11538,23.57,,23.57
car1154,32.4,,32.4
car11547,25.32,,25.32
car11548,23.14,,23.14
car11553,23.27,,23.27
car11556,14.07,,14.07
car11560,29.23,,29.23
car11572,17.72,,17.72
car11575,14.49,,14.49
car11585,16.1,,16.1
car11588,11.48,,11.48
car1159,41.45,,41.45
car11596,18.28,,18.28
car11621,22.35,,22.35
car11623,21.73,,21.73
car11629,22.63,,22.63
car11632,19.08,,19.08
car11652,28.98,,28.98
car11656,27.56,,27.56
car11658,22.4,,22.4
car11661,14.94,,14.94
car11668,29.24,,29.24
car11672,22.53,,22.53
car11679,22.83,,22.83
car1168,37.17,,37.17
car11682,25.27,,25.27
car11684,21.43,,21.43
car11685,23.0,,23.0
car11688,23.5,,23.5
car11694,26.14,,26.14
car11695,20.12,,20.12
car11704,25.84,,25.84
car11706,20.75,,20.75
car11712,30.4,,30.4
car11716,19.33,,19.33
car1172,34.2,,34.2
car11724,27.06,,27.06
car1173,44.62,,44.62
car11730,22.91,,22.91
car11731,22.67,,22.67
car11735,28.8,,28.8
car11736,27.38,,27.38
car11737,20.32,,20.32
car11743,26.26,,26.26
car11748,27.02,,27.02
car11756,26.31,,26.31
car11761,23.9,,23.9
car11765,15.31,,15.31
car11768,20.23,,20.23
car11771,19.1,,19.1
car11775,21.78,,21.78
car11776,21.31,,21.31
car11785,23.0,,23.0
car1179,39.84,,39.84
car11790,15.32,,15.32
car11793,13.59,,13.59
car1180,47.98,,47.98
car11813,18.63,,18.63
car11816,16.94,,16.94
car11819,12.2,,12.2
car11833,11.53,,11.53
car1184,39.9,,39.9
car11842,6.76,,6.76
car11851,12.35,,12.35
car11855,19.41,,19.41
car11861,20.39,,20.39
car11865,15.16,,15.16
car11876,16.27,,16.27
car11882,23.24,,23.24
car11885,21.99,,21.99
car11886,18.69,,18.69
car11893,22.04,,22.04
car11898,29.85,,29.85
car11907,24.85,,24.85
car1191,46.17,,46.17
car11911,20.14,,20.14
car11915,27.32,,27.32
car11919,25.2,,25.2
car1192,40.72,,40.72
car11920,24.65,,24.65
car11921,16.58,,16.58
car11926,25.06,,25.06
car11927,25.97,,25.97
car11936,26.04,,26.04
car1194,30.2,,30.2
car11943,24.47,,24.47
car11948,25.03,,25.03
car1195,42.87,,42.87
car11963,31.4,,31.4
car11970,26.72,,26.72
car11972,29.6,,29.6
car1198,37.0,,37.0
car11981,25.72,,25.72
car11983,27.09,,27.09
car11984,26.37,,26.37
car11989,30.43,,30.43
car11997,26.68,,26.68
car120,18.9,,18.9
car12005,22.75,,22.75
car12006,28.1,,28.1
car12011,20.24,,20.24
car12023,29.47,,29.47
car12027,11.97,,11.97
car1203,46.68,,46.68
car12037,19.62,,19.62
car1204,42.64,,42.64
car12041,28.26,,28.26
car12051,24.22,,24.22
car12058,33.99,,33.99
car12067,24.24,,24.24
car12083,18.94,,18.94
car12094,12.46,,12.46
car12095,19.62,,19.62
car12097,13.66,,13.66
car121,17.12,,17.12
car12101,22.0,,22.0
car12104,7.58,,7.58
car12116,2.9,,2.9
car12117,5.37,,5.37
car12128,16.4,,16.4
car12131,23.08,,23.08
car1216,42.14,,42.14
car12163,20.93,,20.93
car12170,12.88,,12.88
car12173,29.36,,29.36
car1218,36.01,,36.01
car12183,25.16,,25.16
car12184,15.49,,15.49
car12192,22.51,,22.51
car1220,44.6,,44.6
car12203,23.12,,23.12
car12205,22.33,,22.33
car12208,24.96,,24.96
car12209,20.75,,20.75
car12210,22.65,,22.65
car12213,25.08,,25.08
car12215,23.35,,23.35
car12223,26.46,,26.46
car12226,27.03,,27.03
car12228,31.22,,31.22
car1223,42.45,,42.45
car12238,27.56,,27.56
car12248,33.95,,33.95
car1225,56.97,,56.97
car12250,29.07,,29.07
car12254,27.39,,27.39
car12255,22.4,,22.4
car12262,28.69,,28.69
car12264,31.62,,31.62
car12265,27.9,,27.9
car12272,28.7,,28.7
car12275,29.82,,29.82
car12277,28.67,,28.67
car12279,30.47,,30.47
car12281,29.47,,29.47
car12289,43.27,,43.27
car12294,32.49,,32.49
car1230,52.72,,52.72
car12305,30.47,,30.47
car12308,31.93,,31.93
car12318,32.15,,32.15
car12323,33.08,,33.08
car12326,33.85,,33.85
car12330,28.08,,28.08
car12339,31.72,,31.72
car12341,35.77,,35.77
car12362,34.67,,34.67
car12365,33.26,,33.26
car1237,43.71,,43.71
car12380,36.03,,36.03
car12382,34.54,,34.54
car12393,30.42,,30.42
car12399,38.92,,38.92
car1241,38.9,,38.9
car12416,37.41,,37.41
car12418,38.38,,38.38
car12424,37.81,,37.81
car12426,32.54,,32.54
car12427,42.05,,42.05
car1243,49.03,,49.03
car12430,27.01,,27.01
car12433,38.87,,38.87
car12436,38.56,,38.56
car12439,33.58,,33.58
car12442,36.78,,36.78
car12461,39.61,,39.61
car12462,31.74,,31.74
car12473,41.53,,41.53
car12482,38.09,,38.09
car12483,33.37,,33.37
car12488,35.71,,35.71
car1249,39.71,,39.71
car12491,28.66,,28.66
car12497,35.73,,35.73
car12498,36.68,,36.68
car12501,28.43,,28.43
car12503,42.34,,42.34
car12509,44.98,,44.98
car12511,37.93,,37.93
car12514,29.98,,29.98
car12518,20.07,,20.07
car12520,41.45,,41.45
car12524,23.07,,23.07
car12529,36.4,,36.4
car12532,24.58,,24.58
car12555,32.61,,32.61
car12558,43.48,,43.48
car12571,29.94,,29.94
car12572,40.3,,40.3
car12578,32.78,,32.78
car12584,32.33,,32.33
car12594,39.9,,39.9
car12596,30.54,,30.54
car126,28.66,,28.66
car12600,28.3,,28.3
car12602,45.79,,45.79
car12607,37.99,,37.99
car12610,36.0,,36.0
car12615,31.88,,31.88
car12618,25.6,,25.6
car12621,35.73,,35.73
car12627,31.03,,31.03
car12640,36.1,,36.1
car12646,31.0,,31.0
car12651,28.44,,28.44
car12657,32.32,,32.32
car1266,32.09,,32.09
car12660,28.09,,28.09
car12664,26.54,,26.54
car12665,28.6,,28.6
car12678,29.21,,29.21
car12680,21.58,,21.58
car12682,25.22,,25.22
car12685,18.14,,18.14
car12691,29.98,,29.98
car12696,15.51,,15.51
car1270,49.01,,49.01
car12702,29.44,,29.44
car12704,34.8,,34.8
car12711,17.85,,17.85
car12718,18.09,,18.09
car1272,41.77,,41.77
car12753,17.34,,17.34
car12759,15.6,,15.6
car12768,13.92,,13.92
car12770,17.07,,17.07
car12773,13.98,,13.98
car12785,19.82,,19.82
car12788,21.27,,21.27
car12790,18.52,,18.52
car12793,41.65,,41.65
car12801,19.96,,19.96
car12805,17.67,,17.67
car12817,22.77,,22.77
car12818,22.28,,22.28
car12827,23.99,,23.99
car1283,45.12,,45.12
car12831,13.07,,13.07
car12833,24.93,,24.93
car12835,20.68,,20.68
