车辆ID,左车道速度,右车道速度,总平均速度
bus1143,72.6,,72.6
bus11431,28.19,,28.19
bus11433,26.66,,26.66
bus11436,73.2,,73.2
bus11447,29.1,,29.1
bus11459,32.0,,32.0
bus1146,37.3,,37.3
bus11477,23.17,,23.17
bus11482,26.12,,26.12
bus11494,26.35,,26.35
bus11497,26.84,,26.84
bus11504,27.76,,27.76
bus11507,32.07,,32.07
bus11513,36.2,,36.2
bus11516,11.36,,11.36
bus11521,25.28,,25.28
bus11525,26.39,,26.39
bus11526,34.21,,34.21
bus11531,27.01,,27.01
bus1154,39.32,,39.32
bus11547,21.07,,21.07
bus11556,16.93,,16.93
bus11577,30.07,,30.07
bus11584,20.45,,20.45
bus11585,19.1,,19.1
bus11588,13.0,,13.0
bus1159,38.19,,38.19
bus11596,14.1,,14.1
bus11606,28.23,,28.23
bus11621,22.72,,22.72
bus1163,46.88,,46.88
bus11632,24.16,,24.16
bus11652,25.15,,25.15
bus11658,27.53,,27.53
bus11661,18.9,,18.9
bus11668,29.23,,29.23
bus11672,21.21,,21.21
bus11679,25.49,,25.49
bus1168,38.72,,38.72
bus11682,26.06,,26.06
bus11684,26.39,,26.39
bus11688,19.84,,19.84
bus11694,19.6,,19.6
bus11695,27.13,,27.13
bus11700,25.56,,25.56
bus11704,27.36,,27.36
bus11716,24.7,,24.7
bus1172,38.19,,38.19
bus1173,45.0,,45.0
bus11730,26.73,,26.73
bus11735,46.0,,46.0
bus11736,29.8,,29.8
bus11737,23.74,,23.74
bus11748,28.1,,28.1
bus11756,28.01,,28.01
bus11761,22.39,,22.39
bus11765,21.47,,21.47
bus11768,28.1,,28.1
bus11771,39.56,,39.56
bus11775,18.8,,18.8
bus11785,4.42,,4.42
bus1179,38.66,,38.66
bus11790,12.17,,12.17
bus1180,51.62,,51.62
bus11833,14.27,,14.27
bus1184,46.68,,46.68
bus11850,14.4,,14.4
bus11855,25.06,,25.06
bus11861,19.73,,19.73
bus11876,29.9,,29.9
bus1188,39.33,,39.33
bus11882,26.35,,26.35
bus11885,23.87,,23.87
bus11886,15.8,,15.8
bus11893,33.8,,33.8
bus11898,31.03,,31.03
bus11907,29.11,,29.11
bus1191,58.3,,58.3
bus11911,31.6,,31.6
bus11915,26.0,,26.0
bus11919,25.31,,25.31
bus1192,48.05,,48.05
bus11920,26.87,,26.87
bus11921,15.51,,15.51
bus11926,30.03,,30.03
bus11927,28.3,,28.3
bus11936,19.98,,19.98
bus1194,30.2,,30.2
bus11943,23.37,,23.37
bus11948,25.0,,25.0
bus1195,51.38,,51.38
bus11963,29.6,,29.6
bus11970,15.46,,15.46
bus11972,25.56,,25.56
bus1198,36.23,,36.23
bus11981,24.28,,24.28
